id,email,role,q1,q2,q3,q4,q5,q6,comments
6614effdfc13ae3872ab8ac7,jtongech@businessinsider.com,tribe_master,1,5,3,3,1,3,Concerns about the project's ability to deliver value and outcomes effectively.
6614effdfc13ae3872ab8ac8,gdimitriev8u@chronoengine.com,tribe_master,2,4,4,2,1,5,Experiencing difficulties in managing project risks.
6614effdfc13ae3872ab8ac9,rpigromens@symantec.com,software_developper,5,1,5,3,1,4,Need assistance in managing project scope changes and creep effectively.
6614effdfc13ae3872ab8aca,dlambourne73@homestead.com,software_developper,3,2,5,1,1,4,Ideas for boosting team morale.
6614effdfc13ae3872ab8acb,rkissickeu@mapy.cz,software_developper,2,2,1,2,1,1,Feeling overwhelmed by the project's demands and expectations.
6614effdfc13ae3872ab8acc,amccallamgq@zdnet.com,consultant,3,1,3,1,5,1,Feeling unsupported in addressing project issues and challenges effectively.
6614effdfc13ae3872ab8acd,scantogv@prweb.com,software_developper,1,4,3,5,3,2,Seeking advice on handling difficult conversations.
6614effdfc13ae3872ab8ace,mknowltonf6@hibu.com,software_developper,3,2,3,4,1,1,Feeling stressed due to conflicting priorities from different projects.
6614effdfc13ae3872ab8acf,noldroydepm@columbia.edu,tribe_master,1,4,1,3,4,3,I need to have a personal session regarding my feedback.
6614effdfc13ae3872ab8ad0,yblacklerqv@4shared.com,software_developper,3,5,5,2,3,1,Concerns about the team's ability to deliver project outcomes.
6614effdfc13ae3872ab8ad1,jmilsapjs@mediafire.com,software_developper,5,1,5,5,5,5,Seeking advice on handling difficult conversations.
6614effdfc13ae3872ab8ad2,rsamwysekl@sitemeter.com,software_developper,2,2,2,3,3,1,Struggling with maintaining team motivation during project setbacks.
6614effdfc13ae3872ab8ad3,bdanilovitchcf@google.com.au,software_developper,5,1,4,3,4,5,Suggestions for optimizing team workflows.
6614effdfc13ae3872ab8ad4,epentony3c@arizona.edu,software_developper,2,2,1,5,3,4,Need assistance in managing project dependencies and interdependencies.
6614effdfc13ae3872ab8ad5,jamdohrhl@businesswire.com,tribe_master,2,5,1,2,3,3,Experiencing burnout due to long hours.
6614effdfc13ae3872ab8ad6,gloudwellfk@webmd.com,software_developper,1,3,1,2,3,3,Ideas for boosting team morale.
6614effdfc13ae3872ab8ad7,mconaghyfx@gov.uk,software_developper,5,5,2,5,1,2,Need assistance in managing stakeholder expectations.
6614effdfc13ae3872ab8ad8,jallberry5@posterous.com,software_developper,4,2,1,5,1,5,Feeling disconnected from the team while working remotely.
6614effdfc13ae3872ab8ad9,gvallow6c@com.com,software_developper,2,1,1,2,5,1,Feeling stressed due to lack of work-life balance.
6614effdfc13ae3872ab8ada,athingk7@prnewswire.com,consultant,1,2,2,3,4,1,Experiencing difficulties in managing project stakeholders' expectations.
6614effdfc13ae3872ab8adb,bbennetts4t@usgs.gov,tribe_master,3,4,4,4,3,2,Feeling stressed due to the project's tight deadlines and deliverables.
6614effdfc13ae3872ab8adc,tchuterol@imageshack.us,software_developper,4,4,4,2,1,1,Concerns about the team's ability to deliver on project promises.
6614effdfc13ae3872ab8add,lrupertoh@cisco.com,consultant,3,3,4,5,4,2,Need support in managing project constraints and limitations.
6614effdfc13ae3872ab8ade,frosendt@ehow.com,consultant,2,3,3,1,3,3,Concerns about the project's impact on team members' workload and well-being.
6614effdfc13ae3872ab8adf,ecleenkp@vistaprint.com,consultant,4,2,4,2,2,5,Concerns about the project's ability to deliver value and outcomes.
6614effdfc13ae3872ab8ae0,jensorqt@bravesites.com,consultant,2,5,5,2,4,3,Facing difficulties in adapting to new technologies.
6614effdfc13ae3872ab8ae1,mbaunu@theguardian.com,software_developper,1,3,5,5,1,1,Concerns about the project's risks and mitigation strategies.
6614effdfc13ae3872ab8ae2,tcenterkm@geocities.jp,software_developper,1,3,5,5,5,4,Experiencing difficulties in managing project constraints.
6614effdfc13ae3872ab8ae3,jorderb2@vkontakte.ru,tribe_master,2,2,4,3,3,1,Experiencing challenges in managing project resources and priorities.
6614effdfc13ae3872ab8ae4,abenzagc@google.ru,consultant,4,2,3,2,5,5,Feeling unsupported in addressing project issues and challenges proactively.
6614effdfc13ae3872ab8ae5,aadamowitz16@hud.gov,intern,3,2,4,5,3,3,Feeling overwhelmed by the project's scope and scale.
6614effdfc13ae3872ab8ae6,adecourcyjp@delicious.com,intern,2,1,2,5,1,3,Seeking guidance on managing project schedules and deadlines.
6614effdfc13ae3872ab8ae7,kwheadongt@ted.com,software_developper,5,3,1,4,2,2,Concerns about the team's adherence to project timelines.
6614effdfc13ae3872ab8ae8,tstolbergfj@gravatar.com,intern,3,1,3,2,1,2,Feeling stressed due to conflicting priorities from different projects.
6614effdfc13ae3872ab8ae9,tdelhay4n@shareasale.com,consultant,3,4,2,3,5,4,Concerns about the project's communication and collaboration practices.
6614effdfc13ae3872ab8aea,rcracker3n@t-online.de,software_developper,3,4,2,2,3,4,Need guidance on conflict resolution strategies.
6614effdfc13ae3872ab8aeb,sstainfieldr1@studiopress.com,consultant,4,4,1,4,3,1,Feeling stressed due to lack of work-life balance.
6614effdfc13ae3872ab8aec,dbrandhamr9@newsvine.com,software_developper,3,2,2,3,3,4,Need support in managing project communications and stakeholder expectations.
6614effdfc13ae3872ab8aed,pclinchj@amazon.co.uk,software_developper,1,1,3,4,5,4,Feeling unsupported in addressing project uncertainties and ambiguities.
6614effdfc13ae3872ab8aee,msprionghalle3@google.es,software_developper,5,1,2,5,4,2,Concerns about the team's knowledge sharing practices.
6614effdfc13ae3872ab8aef,pmatyushenko3f@washingtonpost.com,software_developper,1,3,4,4,2,1,Challenges in maintaining focus during meetings.
6614effdfc13ae3872ab8af0,pickovcq@cisco.com,intern,1,3,1,4,3,2,Feeling stressed due to lack of project clarity and direction.
6614effdfc13ae3872ab8af1,kmeadowsb@flavors.me,software_developper,5,4,2,1,3,1,Experiencing challenges in managing project timelines and milestones.
6614effdfc13ae3872ab8af2,pmeffin3s@smh.com.au,consultant,3,1,2,5,4,5,Ideas for improving team collaboration.
6614effdfc13ae3872ab8af3,ydeknevetiz@china.com.cn,consultant,1,4,1,2,2,3,Experiencing challenges in managing project resources and priorities.
6614effdfc13ae3872ab8af4,sjaycockhj@ameblo.jp,tribe_master,1,3,1,4,5,5,Seeking advice on managing project expectations and scope.
6614effdfc13ae3872ab8af5,dpickaverf2@parallels.com,software_developper,1,4,5,5,4,1,Need assistance in improving team communication channels.
6614effdfc13ae3872ab8af6,sstainfieldr1@studiopress.com,consultant,1,1,1,4,5,2,Feeling disconnected from the team's goals and objectives.
6614effdfc13ae3872ab8af7,epentony3c@arizona.edu,software_developper,5,3,3,4,4,5,Need more transparency in communication.
6614effdfc13ae3872ab8af8,saskellit@scribd.com,software_developper,3,2,1,2,3,1,Struggling with maintaining project momentum during resource constraints.
6614effdfc13ae3872ab8af9,rmariyushkin71@altervista.org,software_developper,1,2,3,4,2,4,Struggling with unclear project objectives.
6614effdfc13ae3872ab8afa,spfeufferad@twitpic.com,software_developper,4,5,1,5,5,2,Seeking guidance on managing team dynamics effectively.
6614effdfc13ae3872ab8afb,tsavidge45@house.gov,software_developper,4,5,1,1,5,3,Seeking advice on managing project expectations and scope.
6614effdfc13ae3872ab8afc,bpudney13@webmd.com,software_developper,3,1,3,3,5,3,Feeling undervalued due to lack of recognition.
6614effdfc13ae3872ab8afd,smuxworthy93@mashable.com,software_developper,4,4,1,5,2,4,Feeling overwhelmed by the project's workload and demands.
6614effdfc13ae3872ab8afe,csextieao@zdnet.com,software_developper,2,4,2,3,2,2,Experiencing challenges in managing project resources and allocations.
6614effdfc13ae3872ab8aff,fbrettoner9d@google.co.uk,consultant,4,5,3,2,4,1,Need clarification on the project requirements.
6614effdfc13ae3872ab8b00,adesportejf@cisco.com,consultant,1,2,3,5,2,4,Concerns about the team's alignment with project objectives.
6614effdfc13ae3872ab8b01,etraytel0@msu.edu,intern,3,2,2,3,5,3,Concerns about the team's alignment with project goals.
6614effdfc13ae3872ab8b02,ameritc4@engadget.com,software_developper,4,3,2,2,3,3,Experiencing difficulties in managing project budgets.
6614effdfc13ae3872ab8b03,ydunleybi@blinklist.com,intern,1,3,5,3,1,2,Ideas for boosting team morale.
6614effdfc13ae3872ab8b04,skennedyju@state.tx.us,software_developper,3,1,3,3,3,5,Seeking advice on improving team collaboration in virtual environments.
6614effdfc13ae3872ab8b05,lderr5s@sohu.com,software_developper,2,4,5,2,5,1,Facing challenges in adapting to organizational changes.
6614effdfc13ae3872ab8b06,mfiermand@wordpress.com,consultant,5,1,2,4,5,4,Concerns about the project's impact on team members' workload and well-being.
6614effdfc13ae3872ab8b07,clazonbyg@theguardian.com,software_developper,2,1,4,2,1,4,Need assistance in managing project expectations and deliverables.
6614effdfc13ae3872ab8b08,taimerk8@wikispaces.com,software_developper,3,5,2,2,3,3,Need assistance in improving team communication channels.
6614effdfc13ae3872ab8b09,maskewo3@shutterfly.com,software_developper,3,5,3,2,4,1,Experiencing burnout due to long hours.
6614effdfc13ae3872ab8b0a,lfraschettibz@bloomberg.com,software_developper,2,4,3,3,2,4,Feeling unsupported in addressing project conflicts and disagreements.
6614effdfc13ae3872ab8b0b,rlemasneyc@dropbox.com,consultant,5,5,2,5,4,4,Suggestions for enhancing team communication.
6614effdfc13ae3872ab8b0c,gomurtagh1p@posterous.com,consultant,1,5,1,1,3,3,Concerns about the team's ability to innovate in project solutions.
6614effdfc13ae3872ab8b0d,cbeneq8@sourceforge.net,software_developper,2,5,3,3,4,5,Experiencing difficulties in managing multiple projects.
6614effdfc13ae3872ab8b0e,tmilvarnie7h@printfriendly.com,software_developper,4,5,2,2,1,3,Concerns about the team's cohesion and morale.
6614effdfc13ae3872ab8b0f,skornilyevqh@ebay.co.uk,software_developper,2,4,4,5,3,5,Feeling stressed due to conflicting project priorities.
6614effdfc13ae3872ab8b10,jperellmd@nsw.gov.au,consultant,1,2,1,4,1,4,Struggling with feedback from project stakeholders.
6614effdfc13ae3872ab8b11,croskrugeo7@oracle.com,consultant,4,3,2,1,3,4,Need clarification on the project requirements.
6614effdfc13ae3872ab8b12,lclarricoateshq@tinypic.com,consultant,3,4,3,1,2,2,Concerns about the project's impact on organizational resources and priorities.
6614effdfc13ae3872ab8b13,acomiskey8j@desdev.cn,tribe_master,3,1,3,3,1,2,Struggling with maintaining project team motivation and engagement.
6614effdfc13ae3872ab8b14,rrobberechtcd@sakura.ne.jp,software_developper,3,1,4,4,1,2,Feeling overwhelmed by the number of project deliverables.
6614effdfc13ae3872ab8b15,lludgate5n@facebook.com,software_developper,4,3,2,3,1,3,Need assistance in managing project dependencies and critical paths.
6614effdfc13ae3872ab8b16,pmurford6j@marriott.com,software_developper,1,3,3,4,2,2,Struggling with maintaining project alignment with strategic goals and objectives.
6614effdfc13ae3872ab8b17,wcrommettp1@so-net.ne.jp,intern,3,2,3,3,5,5,Need assistance in managing stakeholder expectations effectively.
6614effdfc13ae3872ab8b18,pnazaretj4@acquirethisname.com,intern,5,3,1,2,4,4,Feeling overwhelmed with the workload.
6614effdfc13ae3872ab8b19,bgloyensko@wordpress.org,consultant,1,5,4,5,1,2,Experiencing difficulties in managing project constraints.
6614effdfc13ae3872ab8b1a,mbaunu@theguardian.com,software_developper,3,1,5,3,3,4,Feeling isolated while working remotely.
6614effdfc13ae3872ab8b1b,dswift4k@thetimes.co.uk,software_developper,2,5,1,2,5,5,Need support in managing project constraints and limitations.
6614effdfc13ae3872ab8b1c,ddartnellh7@mayoclinic.com,tribe_master,4,2,5,4,4,2,Need support in improving my technical skills.
6614effdfc13ae3872ab8b1d,tchuterol@imageshack.us,software_developper,3,4,2,5,4,1,Concerns about the team's ability to meet project deadlines.
6614effdfc13ae3872ab8b1e,rkinneyb8@fastcompany.com,software_developper,2,2,4,3,2,4,Struggling with maintaining project momentum during resource constraints.
6614effdfc13ae3872ab8b1f,gwheblejo@fema.gov,tribe_master,1,3,4,5,1,1,Feeling overwhelmed by the complexity of project interdependencies.
6614effdfc13ae3872ab8b20,ebanckms@google.com,software_developper,4,3,4,1,4,4,Concerns about the team's ability to deliver project outcomes.
6614effdfc13ae3872ab8b21,shodgonj1@amazon.co.uk,software_developper,5,2,1,1,2,5,Seeking guidance on managing project schedules and deadlines.
6614effdfc13ae3872ab8b22,mreadings4y@independent.co.uk,consultant,3,4,2,5,3,5,Struggling with maintaining project momentum during changes and disruptions.
6614effdfc13ae3872ab8b23,awalecl@wunderground.com,tribe_master,5,2,2,4,1,2,Seeking guidance on managing project schedules and deadlines effectively.
6614effdfc13ae3872ab8b24,rdenorefq@cafepress.com,software_developper,4,2,2,1,5,2,Concerns about the project's impact on team members' workload and well-being.
6614effdfc13ae3872ab8b25,cdymondij@feedburner.com,consultant,4,2,3,3,5,3,Suggestions for improving project planning processes.
6614effdfc13ae3872ab8b26,ahullyerg5@purevolume.com,tribe_master,3,2,3,1,4,3,Concerns about the team's adherence to project timelines.
6614effdfc13ae3872ab8b27,dpickaverf2@parallels.com,software_developper,4,5,5,3,2,5,Feeling overwhelmed by the pace of work.
6614effdfc13ae3872ab8b28,vminterjx@state.gov,consultant,3,3,4,2,4,4,Need support in managing stakeholder relationships.
6614effdfc13ae3872ab8b29,chulkesdx@fema.gov,software_developper,1,3,3,5,3,2,Need assistance in managing project expectations and deliverables.
6614effdfc13ae3872ab8b2a,suzzellm@tinyurl.com,software_developper,4,1,3,4,2,5,Need assistance in managing project scope changes and creep effectively.
6614effdfc13ae3872ab8b2b,ddelaprellehp@flavors.me,consultant,3,2,3,4,3,2,Seeking mentorship from senior colleagues.
6614effdfc13ae3872ab8b2c,rdaniele2n@artisteer.com,consultant,3,1,1,2,2,2,Feeling unsupported in addressing team members' concerns.
6614effdfc13ae3872ab8b2d,imolianp8@uiuc.edu,software_developper,1,4,5,5,2,2,Experiencing difficulties in managing remote team members.
6614effdfc13ae3872ab8b2e,opirrie15@biglobe.ne.jp,software_developper,3,4,1,4,2,4,Seeking guidance on managing project budgets and resources.
6614effdfc13ae3872ab8b2f,elabordel@eventbrite.com,software_developper,4,3,5,1,4,5,Experiencing difficulties in managing project risks and uncertainties.
6614effdfc13ae3872ab8b30,epender5u@noaa.gov,consultant,5,1,5,2,5,1,I need to have a personal session regarding my feedback.
6614effdfc13ae3872ab8b31,ayankishin1b@goo.gl,tribe_master,1,1,3,1,4,5,Suggestions for improving team bonding activities.
6614effdfc13ae3872ab8b32,cbevens51@godaddy.com,consultant,1,3,3,2,3,2,Struggling with maintaining project stakeholder relationships.
6614effdfc13ae3872ab8b33,mchattington7@phoca.cz,consultant,2,5,1,1,4,4,Seeking advice on managing project constraints and limitations.
6614effdfc13ae3872ab8b34,ciannittilw@irs.gov,software_developper,3,5,1,2,5,2,Struggling with maintaining project transparency and accountability.
6614effdfc13ae3872ab8b35,vbowerman5t@netvibes.com,consultant,2,5,4,3,5,1,Struggling with maintaining project team motivation and morale.
6614effdfc13ae3872ab8b36,fstaniforthh1@examiner.com,software_developper,2,3,1,3,1,2,Concerns about the team's ability to adapt to evolving project requirements.
6614effdfc13ae3872ab8b37,landreinikq@ezinearticles.com,software_developper,5,5,5,4,4,4,Struggling with maintaining project momentum during changes and disruptions.
6614effdfc13ae3872ab8b38,afairbrothergf@omniture.com,software_developper,3,4,3,3,2,1,Feeling unsupported in addressing project conflicts and disagreements effectively.
6614effdfc13ae3872ab8b39,tblaxallkh@ehow.com,software_developper,1,5,2,4,2,2,Concerns about the team's ability to meet project deadlines.
6614effdfc13ae3872ab8b3a,emclelland6w@addthis.com,consultant,1,1,5,1,5,3,Concerns about the project's communication and collaboration practices.
6614effdfc13ae3872ab8b3b,hmarryattou@microsoft.com,software_developper,3,2,3,3,4,3,Concerns about the project's alignment with strategic initiatives and goals.
6614effdfc13ae3872ab8b3c,ieckhm8@moonfruit.com,software_developper,1,2,2,2,5,2,Concerns about the project's risks and mitigation strategies.
6614effdfc13ae3872ab8b3d,bbloxham17@tamu.edu,intern,2,1,4,3,2,3,Seeking opportunities for cross-functional collaboration.
6614effdfc13ae3872ab8b3e,bcaretri@discovery.com,software_developper,1,5,4,3,5,3,Feeling overwhelmed by the complexity of project interdependencies.
6614effdfc13ae3872ab8b3f,cbaribalmb@bandcamp.com,software_developper,5,3,3,5,3,4,Concerns about the project's alignment with strategic initiatives and goals.
6614effdfc13ae3872ab8b40,mtaplowpo@cbc.ca,software_developper,1,1,5,5,3,5,Suggestions for enhancing team communication.
6614effdfc13ae3872ab8b41,dskaid1v@squarespace.com,tribe_master,2,3,1,4,3,3,Seeking advice on managing project priorities and trade-offs.
6614effdfc13ae3872ab8b42,taimerk8@wikispaces.com,software_developper,1,2,3,5,3,4,Need support in managing project constraints and limitations.
6614effdfc13ae3872ab8b43,kellphcw@discuz.net,intern,2,1,3,4,1,3,Need support in managing project risks and uncertainties proactively.
6614effdfc13ae3872ab8b44,lboffinp4@storify.com,consultant,1,1,1,1,3,4,Concerns about the team's alignment with project objectives.
6614effdfc13ae3872ab8b45,vcowthart36@techcrunch.com,software_developper,5,5,2,4,1,3,Feeling overwhelmed by the number of project meetings.
6614effdfc13ae3872ab8b46,cbodell6t@yelp.com,tribe_master,4,4,3,3,2,4,Concerns about the project's alignment with organizational priorities.
