FIRST_NAME,LAST_NAME,EMAIL,GENDER,DOB_DD_MM_YYYY,USER_TYPE,ROLE,AGE,CLIENT_NAME,PROJECT_NAME,PROJECT_START_DATE,PROJECT_END_DATE,PROJECT_DURATION,PROJECT_CATEGORY,ALLOCATION_START,ALLOCATION_END,ALLOCATION_DURATION,WEEK_START,WEEK_END,ACTIVITY,COMMENTS,MON,TUE,WED,THUR,FRI,SAT,SUN,FLAG,TOTAL_WEEK_HOURS,HOURS_OVER_OR_UNDER,FEEDBACK_START_PERIOD,FEEDBACK_END_PERIOD,Q1,Q2,Q3,Q4,Q5,Q6,FEEDBACK_COMMENTS,ATTENDANCE_REGULARIZATION
Chiarra,Avrashin,cavrashin2p@fda.gov,Male,24-07-2000,User,software_developper,24,Reynolds LLC,Software_Developper,2023-08-17,2023-08-31,14,Small Cap Project,13-07-2023,17-08-2023,35,2024-01-31,2024-02-07,client_project,Need to establish clearer project timelines,3,2,10,2,6,4,2,False,29.0,-11.0,,,,,,,,,,1
Napoleon,Belfit,nbelfitnv@washington.edu,Male,21-04-1979,User,intern,45,Gerlach LLC,Software_Developper,2023-06-04,2023-07-09,35,Mid Cap Project,12-10-2023,16-11-2023,35,2023-11-21,2023-11-28,bau,Need additional training on certain tools,7,2,6,3,8,6,7,False,39.0,-1.0,,,,,,,,,,0
Tawsha,Paridge,tparidge7w@furl.net,Male,01-02-1988,User,software_developper,36,"Keebler, Feil and Monahan",Software_Developper,2023-05-02,2023-06-06,35,Mid Cap Project,05-03-2024,19-03-2024,14,2023-12-18,2023-12-25,sales_activity,Feeling valued and appreciated by team,6,6,1,3,2,2,11,False,31.0,-9.0,2023-11-23,2023-11-30,4,1,5,1,3,2,Experiencing burnout due to long hours.,1
Poul,Candey,pcandeykz@ebay.com,Female,18-07-1987,User,consultant,37,Cummings Inc,Consulting,2024-03-18,2024-04-22,35,Mid Cap Project,19-01-2024,01-03-2024,42,2024-03-06,2024-03-13,sales_activity,Experiencing burnout from long hours,2,8,1,11,5,6,12,True,45.0,5.0,2024-02-09,2024-02-16,2,2,3,1,4,4,Feeling stressed due to the project's impact on team dynamics and morale.,0
Dal,MacAleese,dmacaleeserm@cyberchimps.com,Male,21-03-1991,User,intern,33,"Wyman, Langosh and Wiegand",Software_Developper,2023-08-11,2023-09-15,35,Mid Cap Project,09-10-2023,06-11-2023,28,2024-01-11,2024-01-18,sales_activity,Task requirements changed without notice,7,2,8,3,12,6,6,False,44.0,4.0,2023-04-19,2023-04-26,4,4,3,5,4,2,Seeking guidance on managing project complexities and challenges effectively.,0
Kirbee,Rosiello,krosielloqr@symantec.com,Female,02-07-1979,User,tribe_master,45,Ledner LLC,Software_Developper,2023-10-30,2023-11-27,28,Mid Cap Project,15-10-2023,12-11-2023,28,2024-02-10,2024-02-17,client_project,Need to enhance cross-functional collaboration,9,5,4,3,5,4,1,False,31.0,-9.0,2024-01-31,2024-02-07,1,5,4,1,4,5,Feeling unsupported in addressing team challenges.,1
Jarvis,Arter,jartermc@google.com.br,Female,01-04-2001,User,software_developper,23,"Walker, Williamson and Reilly",Software_Developper,2023-04-22,2023-05-06,14,Small Cap Project,07-09-2023,19-10-2023,42,2023-12-18,2023-12-25,bau,Facing challenges with time tracking,9,7,2,4,1,8,2,True,33.0,-7.0,2023-09-13,2023-09-20,5,3,5,1,4,2,Experiencing burnout due to long hours.,1
Nowell,Carrane,ncarrane7l@twitter.com,Female,27-05-1983,User,software_developper,41,"Kshlerin, Mertz and Mertz",Consulting,2023-07-12,2023-08-02,21,Mid Cap Project,01-06-2023,13-07-2023,42,2024-01-17,2024-01-24,sales_activity,Need to address project risks proactively,2,12,3,1,2,3,3,False,26.0,-14.0,2024-01-31,2024-02-07,5,2,5,3,3,3,Feeling unsupported in addressing team challenges.,1
Cloe,Spinley,cspinleyi@ebay.com,Female,01-04-1982,User,software_developper,42,Stanton and Sons,Software_Developper,2024-03-19,2024-04-23,35,Mid Cap Project,11-08-2023,01-09-2023,21,2023-04-29,2023-05-06,sales_activity,Feeling empowered to make decisions,1,11,4,5,4,2,1,False,28.0,-12.0,2023-06-07,2023-06-14,4,1,4,4,3,3,Concerns about the project's alignment with organizational goals.,1
Teddie,Delhay,tdelhay4n@shareasale.com,Male,20-11-1980,User,consultant,44,"Bergstrom, Dicki and Hegmann",Software_Developper,2023-05-05,2023-05-26,21,Mid Cap Project,14-06-2023,05-07-2023,21,2023-04-26,2023-05-03,client_project,Feeling confident in problem-solving abilities,6,5,2,6,5,5,2,False,31.0,-9.0,,,,,,,,,,1
Shannon,Aires,sairesnj@usnews.com,Male,10-08-1995,User,software_developper,29,"Beahan, Haley and Hand",Intern,2023-05-03,2023-05-24,21,Mid Cap Project,06-09-2023,27-09-2023,21,2024-02-25,2024-03-03,client_project,Feeling accomplished after completing tasks,1,9,8,12,9,1,1,False,41.0,1.0,,,,,,,,,,0
Wendy,Cogle,wcogle8q@google.com.br,Male,23-06-1988,User,software_developper,36,Raynor-Robel,Software_Developper,2023-10-22,2023-12-03,42,Mid Cap Project,20-01-2024,03-02-2024,14,2023-04-29,2023-05-06,bau,Experiencing technical issues with software tools,5,9,2,10,6,5,9,True,46.0,6.0,2023-05-31,2023-06-07,2,1,2,3,5,3,Concerns about the team's ability to adapt to change.,0
Nevin,Concannon,nconcannonni@hugedomains.com,Female,21-03-1997,User,software_developper,27,Ledner LLC,Software_Developper,2023-10-30,2023-11-27,28,Mid Cap Project,12-02-2024,26-02-2024,14,2024-01-19,2024-01-26,bau,Need to seek advice from mentors,3,1,1,1,12,8,5,False,31.0,-9.0,,,,,,,,,,1
Sam,Pfeuffer,spfeufferad@twitpic.com,Male,18-03-1986,User,software_developper,38,Yundt-MacGyver,Software_Developper,2024-03-08,2024-03-29,21,Mid Cap Project,13-07-2023,10-08-2023,28,2024-01-31,2024-02-07,client_project,Need to establish clearer project timelines,3,2,10,2,6,4,2,False,29.0,-11.0,2023-04-18,2023-04-25,3,5,3,4,1,4,Concerns about the project's alignment with organizational priorities.,1
Nanon,Spowage,nspowagef9@sciencedaily.com,Male,14-10-1979,User,software_developper,45,Langworth and Sons,Software_Developper,2024-02-05,2024-02-26,21,Mid Cap Project,22-02-2024,07-03-2024,14,2024-03-25,2024-04-01,bau,Experiencing delays due to external dependencies,7,4,4,11,1,1,9,False,37.0,-3.0,,,,,,,,,,0
Dal,MacAleese,dmacaleeserm@cyberchimps.com,Female,03-08-1977,User,intern,47,Lubowitz Inc,Consulting,2023-07-23,2023-08-20,28,Mid Cap Project,09-10-2023,06-11-2023,28,2024-01-11,2024-01-18,sales_activity,Task requirements changed without notice,7,2,8,3,12,6,6,False,44.0,4.0,2023-10-19,2023-10-26,3,1,4,4,1,2,Need support in improving my technical skills.,0
Cointon,Barkes,cbarkeskc@dailymotion.com,Male,27-09-1999,User,consultant,25,"Corkery, Hickle and Auer",Software_Developper,2024-04-20,2024-05-04,14,Small Cap Project,12-08-2023,02-09-2023,21,2024-03-26,2024-04-02,bau,Task complexity higher than anticipated,1,3,8,5,9,5,2,True,33.0,-7.0,,,,,,,,,,1
Prince,Nazaret,pnazaretj4@acquirethisname.com,Male,01-08-1984,User,intern,40,Fay-Welch,Consulting,2023-11-17,2023-12-29,42,Mid Cap Project,17-08-2023,14-09-2023,28,2024-03-14,2024-03-21,client_project,Need better communication from project stakeholders,7,5,2,4,1,6,9,False,34.0,-6.0,,,,,,,,,,1
Maybelle,Bau,mbaunu@theguardian.com,Male,12-11-2000,User,software_developper,24,"Kshlerin, Leffler and Hansen",Software_Developper,2023-06-08,2023-07-13,35,Mid Cap Project,19-02-2024,11-03-2024,21,2024-01-31,2024-02-07,client_project,Need to establish clearer project timelines,3,2,10,2,6,4,2,False,29.0,-11.0,2024-01-11,2024-01-18,3,3,1,2,3,3,Need assistance in managing project scope changes and creep effectively.,1
Kirbee,Rosiello,krosielloqr@symantec.com,Female,02-07-1979,User,tribe_master,45,Langosh Group,Software_Developper,2024-04-14,2024-05-05,21,Mid Cap Project,15-10-2023,12-11-2023,28,2024-01-19,2024-01-26,bau,Need to seek advice from mentors,3,1,1,1,12,8,5,False,31.0,-9.0,2024-01-03,2024-01-10,3,2,3,4,5,2,Need assistance in managing stakeholder expectations.,1
Cointon,Barkes,cbarkeskc@dailymotion.com,Male,27-09-1999,User,consultant,25,"Corkery, Hickle and Auer",Software_Developper,2024-04-20,2024-05-04,14,Small Cap Project,12-08-2023,02-09-2023,21,2024-03-26,2024-04-02,bau,Task complexity higher than anticipated,1,3,8,5,9,5,2,True,33.0,-7.0,,,,,,,,,,1
Sam,Pfeuffer,spfeufferad@twitpic.com,Male,18-03-1986,User,software_developper,38,Reynolds LLC,Software_Developper,2023-08-17,2023-08-31,14,Small Cap Project,13-07-2023,10-08-2023,28,2024-01-31,2024-02-07,client_project,Need to establish clearer project timelines,3,2,10,2,6,4,2,False,29.0,-11.0,2023-04-18,2023-04-25,3,5,3,4,1,4,Concerns about the project's alignment with organizational priorities.,1
Cointon,Barkes,cbarkeskc@dailymotion.com,Male,27-09-1999,User,consultant,25,"Corkery, Hickle and Auer",Software_Developper,2024-04-20,2024-05-04,14,Small Cap Project,22-02-2024,28-03-2024,35,2024-02-29,2024-03-07,client_project,Experiencing burnout from long hours,9,2,10,4,9,7,4,False,45.0,5.0,,,,,,,,,,0
Kirbee,Rosiello,krosielloqr@symantec.com,Female,02-07-1979,User,tribe_master,45,Ledner LLC,Software_Developper,2023-10-30,2023-11-27,28,Mid Cap Project,15-10-2023,12-11-2023,28,2024-02-10,2024-02-17,client_project,Need to enhance cross-functional collaboration,9,5,4,3,5,4,1,False,31.0,-9.0,2024-01-03,2024-01-10,3,2,3,4,5,2,Need assistance in managing stakeholder expectations.,1
Stavros,Kenaway,skenaway1h@scribd.com,Female,12-05-1983,User,consultant,41,"Wyman, Christiansen and Heathcote",Intern,2023-12-09,2024-01-20,42,Mid Cap Project,29-05-2023,10-07-2023,42,2024-03-18,2024-03-25,sales_activity,Not feeling good about the progress,10,2,10,2,5,5,5,False,39.0,-1.0,2023-06-22,2023-06-29,5,1,1,2,2,3,Concerns about the team's capacity to handle workload peaks.,0
Tawsha,Paridge,tparidge7w@furl.net,Male,01-02-1988,User,software_developper,36,Nolan-Thompson,Software_Developper,2023-06-25,2023-07-30,35,Mid Cap Project,05-03-2024,19-03-2024,14,2023-05-31,2023-06-07,sales_activity,Experiencing delays due to external factors,3,5,12,2,5,1,4,False,32.0,-8.0,2023-11-23,2023-11-30,4,1,5,1,3,2,Experiencing burnout due to long hours.,1
Adorne,Bartkowiak,abartkowiakbp@timesonline.co.uk,Female,15-01-2002,User,software_developper,22,Reynolds LLC,Software_Developper,2023-08-17,2023-08-31,14,Small Cap Project,28-08-2023,09-10-2023,42,2023-11-17,2023-11-24,client_project,Task scope changed midway through,6,11,5,11,2,9,8,False,52.0,12.0,2023-11-08,2023-11-15,5,2,3,1,3,1,Seeking guidance on managing project budgets and resource allocations.,0
Cathryn,Stapylton,cstapyltonat@engadget.com,Male,04-10-1979,User,consultant,45,"Grimes, Kuhlman and Schroeder",Intern,2023-05-11,2023-05-25,14,Small Cap Project,27-10-2023,17-11-2023,21,2023-09-07,2023-09-14,client_project,Need more resources to complete tasks,3,2,6,10,11,12,1,True,45.0,5.0,2023-08-01,2023-08-08,2,3,1,2,4,2,Concerns about the team's ability to meet project quality standards.,0
Kimbra,Simakov,ksimakovb9@sbwire.com,Female,18-04-1984,User,tribe_master,40,"Beatty, Lockman and Ortiz",Software_Developper,2023-06-04,2023-07-02,28,Mid Cap Project,30-01-2024,05-03-2024,35,2023-05-10,2023-05-17,client_project,Enjoying working on current tasks,11,5,10,8,1,5,10,False,50.0,10.0,,,,,,,,,,0
Cloe,Spinley,cspinleyi@ebay.com,Female,01-04-1982,User,software_developper,42,West LLC,Consulting,2023-07-07,2023-08-04,28,Mid Cap Project,11-08-2023,01-09-2023,21,2023-04-29,2023-05-06,sales_activity,Feeling empowered to make decisions,1,11,4,5,4,2,1,False,28.0,-12.0,2023-06-07,2023-06-14,4,1,4,4,3,3,Concerns about the project's alignment with organizational goals.,1
Damon,Toffetto,dtoffettopl@census.gov,Female,12-08-1998,User,intern,26,Torphy Inc,Software_Developper,2023-08-17,2023-09-21,35,Mid Cap Project,22-08-2023,12-09-2023,21,2023-08-12,2023-08-19,sales_activity,Experiencing delays due to external factors,1,12,2,1,6,6,8,False,36.0,-4.0,2024-02-22,2024-02-29,2,5,1,5,4,5,Experiencing technical issues with my workstation.,0
Owen,Paur,opaurpt@jugem.jp,Male,07-11-1975,User,consultant,49,Stiedemann Inc,Software_Developper,2023-04-09,2023-04-23,14,Small Cap Project,05-05-2023,19-05-2023,14,2023-09-12,2023-09-19,sales_activity,Task completion delayed due to unforeseen circumstances,10,3,2,2,1,9,6,True,33.0,-7.0,,,,,,,,,,1
Davina,Janeway,djaneway1u@cbc.ca,Male,10-12-1982,User,intern,42,Goodwin-Bergnaum,Software_Developper,2024-01-15,2024-02-05,21,Mid Cap Project,21-10-2023,25-11-2023,35,2024-01-31,2024-02-07,client_project,Not feeling good about the progress,2,6,9,4,12,10,2,False,45.0,5.0,2023-09-03,2023-09-10,5,1,1,4,3,1,Need some help from the resource person.,0
Katti,Wheadon,kwheadongt@ted.com,Female,01-12-1998,User,software_developper,26,Kulas-Reichel,Software_Developper,2023-07-25,2023-08-15,21,Mid Cap Project,24-03-2024,07-04-2024,14,2024-03-26,2024-04-02,bau,Task requirements not clearly defined,11,1,9,3,8,11,1,False,44.0,4.0,,,,,,,,,,0
Nowell,Carrane,ncarrane7l@twitter.com,Female,27-05-1983,User,software_developper,41,Nitzsche-Hodkiewicz,Consulting,2023-07-21,2023-08-18,28,Mid Cap Project,01-06-2023,13-07-2023,42,2023-09-14,2023-09-21,sales_activity,Need additional training on certain tools,6,6,9,12,12,4,1,True,50.0,10.0,2023-08-11,2023-08-18,4,1,3,1,5,1,Experiencing burnout due to long hours.,0
Brandy,Caret,bcaretri@discovery.com,Female,24-04-2000,User,software_developper,24,Morar-Miller,Intern,2023-05-18,2023-06-22,35,Mid Cap Project,12-03-2024,09-04-2024,28,2023-08-31,2023-09-07,client_project,Task complexity causing delays,3,6,7,2,5,10,1,False,34.0,-6.0,2023-07-10,2023-07-17,2,4,5,2,1,2,Feeling unsupported in addressing project uncertainties and ambiguities.,1
Nanon,Spowage,nspowagef9@sciencedaily.com,Male,14-10-1979,User,software_developper,45,Langworth and Sons,Software_Developper,2024-02-05,2024-02-26,21,Mid Cap Project,22-02-2024,07-03-2024,14,2024-03-09,2024-03-16,client_project,Need to improve conflict resolution skills,3,3,1,1,10,6,5,False,29.0,-11.0,,,,,,,,,,1
Alix,Withams,awithamsps@alexa.com,Female,07-07-1988,User,software_developper,36,Frami-Hudson,Software_Developper,2023-06-19,2023-07-31,42,Mid Cap Project,25-03-2024,08-04-2024,14,2023-10-29,2023-11-05,bau,Enjoying working on current tasks,1,11,3,5,10,1,3,True,34.0,-6.0,2023-07-21,2023-07-28,2,1,1,3,5,2,Feeling unsupported in addressing team challenges.,1
Nowell,Carrane,ncarrane7l@twitter.com,Female,27-05-1983,User,software_developper,41,Nitzsche-Hodkiewicz,Consulting,2023-07-21,2023-08-18,28,Mid Cap Project,01-06-2023,13-07-2023,42,2023-09-14,2023-09-21,sales_activity,Need additional training on certain tools,6,6,9,12,12,4,1,True,50.0,10.0,2024-01-31,2024-02-07,5,2,5,3,3,3,Feeling unsupported in addressing team challenges.,0
