_id,id,email,role,q1,q2,q3,q4,q5,q6,comments
661502583f3bd7f6793cdf69,6614effdfc13ae3872ab8ac7,jtongech@businessinsider.com,tribe_master,1,5,3,3,1,3,Concerns about the project's ability to deliver value and outcomes effectively.
661502583f3bd7f6793cdf6a,6614effdfc13ae3872ab8ac8,gdimitriev8u@chronoengine.com,tribe_master,2,4,4,2,1,5,Experiencing difficulties in managing project risks.
661502583f3bd7f6793cdf6b,6614effdfc13ae3872ab8ac9,rpigromens@symantec.com,software_developper,5,1,5,3,1,4,Need assistance in managing project scope changes and creep effectively.
661502583f3bd7f6793cdf6c,6614effdfc13ae3872ab8aca,dlambourne73@homestead.com,software_developper,3,2,5,1,1,4,Ideas for boosting team morale.
661502583f3bd7f6793cdf6d,6614effdfc13ae3872ab8acb,rkissickeu@mapy.cz,software_developper,2,2,1,2,1,1,Feeling overwhelmed by the project's demands and expectations.
661502583f3bd7f6793cdf6e,6614effdfc13ae3872ab8acc,amccallamgq@zdnet.com,consultant,3,1,3,1,5,1,Feeling unsupported in addressing project issues and challenges effectively.
661502583f3bd7f6793cdf6f,6614effdfc13ae3872ab8acd,scantogv@prweb.com,software_developper,1,4,3,5,3,2,Seeking advice on handling difficult conversations.
661502583f3bd7f6793cdf70,6614effdfc13ae3872ab8ace,mknowltonf6@hibu.com,software_developper,3,2,3,4,1,1,Feeling stressed due to conflicting priorities from different projects.
661502583f3bd7f6793cdf71,6614effdfc13ae3872ab8acf,noldroydepm@columbia.edu,tribe_master,1,4,1,3,4,3,I need to have a personal session regarding my feedback.
661502583f3bd7f6793cdf72,6614effdfc13ae3872ab8ad0,yblacklerqv@4shared.com,software_developper,3,5,5,2,3,1,Concerns about the team's ability to deliver project outcomes.
661502583f3bd7f6793cdf73,6614effdfc13ae3872ab8ad1,jmilsapjs@mediafire.com,software_developper,5,1,5,5,5,5,Seeking advice on handling difficult conversations.
661502583f3bd7f6793cdf74,6614effdfc13ae3872ab8ad2,rsamwysekl@sitemeter.com,software_developper,2,2,2,3,3,1,Struggling with maintaining team motivation during project setbacks.
661502583f3bd7f6793cdf75,6614effdfc13ae3872ab8ad3,bdanilovitchcf@google.com.au,software_developper,5,1,4,3,4,5,Suggestions for optimizing team workflows.
661502583f3bd7f6793cdf76,6614effdfc13ae3872ab8ad4,epentony3c@arizona.edu,software_developper,2,2,1,5,3,4,Need assistance in managing project dependencies and interdependencies.
661502583f3bd7f6793cdf77,6614effdfc13ae3872ab8ad5,jamdohrhl@businesswire.com,tribe_master,2,5,1,2,3,3,Experiencing burnout due to long hours.
661502583f3bd7f6793cdf78,6614effdfc13ae3872ab8ad6,gloudwellfk@webmd.com,software_developper,1,3,1,2,3,3,Ideas for boosting team morale.
661502583f3bd7f6793cdf79,6614effdfc13ae3872ab8ad7,mconaghyfx@gov.uk,software_developper,5,5,2,5,1,2,Need assistance in managing stakeholder expectations.
661502583f3bd7f6793cdf7a,6614effdfc13ae3872ab8ad8,jallberry5@posterous.com,software_developper,4,2,1,5,1,5,Feeling disconnected from the team while working remotely.
661502583f3bd7f6793cdf7b,6614effdfc13ae3872ab8ad9,gvallow6c@com.com,software_developper,2,1,1,2,5,1,Feeling stressed due to lack of work-life balance.
661502583f3bd7f6793cdf7c,6614effdfc13ae3872ab8ada,athingk7@prnewswire.com,consultant,1,2,2,3,4,1,Experiencing difficulties in managing project stakeholders' expectations.
661502583f3bd7f6793cdf7d,6614effdfc13ae3872ab8adb,bbennetts4t@usgs.gov,tribe_master,3,4,4,4,3,2,Feeling stressed due to the project's tight deadlines and deliverables.
661502583f3bd7f6793cdf7e,6614effdfc13ae3872ab8adc,tchuterol@imageshack.us,software_developper,4,4,4,2,1,1,Concerns about the team's ability to deliver on project promises.
661502583f3bd7f6793cdf7f,6614effdfc13ae3872ab8add,lrupertoh@cisco.com,consultant,3,3,4,5,4,2,Need support in managing project constraints and limitations.
661502583f3bd7f6793cdf80,6614effdfc13ae3872ab8ade,frosendt@ehow.com,consultant,2,3,3,1,3,3,Concerns about the project's impact on team members' workload and well-being.
661502583f3bd7f6793cdf81,6614effdfc13ae3872ab8adf,ecleenkp@vistaprint.com,consultant,4,2,4,2,2,5,Concerns about the project's ability to deliver value and outcomes.
661502583f3bd7f6793cdf82,6614effdfc13ae3872ab8ae0,jensorqt@bravesites.com,consultant,2,5,5,2,4,3,Facing difficulties in adapting to new technologies.
661502583f3bd7f6793cdf83,6614effdfc13ae3872ab8ae1,mbaunu@theguardian.com,software_developper,1,3,5,5,1,1,Concerns about the project's risks and mitigation strategies.
661502583f3bd7f6793cdf84,6614effdfc13ae3872ab8ae2,tcenterkm@geocities.jp,software_developper,1,3,5,5,5,4,Experiencing difficulties in managing project constraints.
661502583f3bd7f6793cdf85,6614effdfc13ae3872ab8ae3,jorderb2@vkontakte.ru,tribe_master,2,2,4,3,3,1,Experiencing challenges in managing project resources and priorities.
661502583f3bd7f6793cdf86,6614effdfc13ae3872ab8ae4,abenzagc@google.ru,consultant,4,2,3,2,5,5,Feeling unsupported in addressing project issues and challenges proactively.
661502583f3bd7f6793cdf87,6614effdfc13ae3872ab8ae5,aadamowitz16@hud.gov,intern,3,2,4,5,3,3,Feeling overwhelmed by the project's scope and scale.
661502583f3bd7f6793cdf88,6614effdfc13ae3872ab8ae6,adecourcyjp@delicious.com,intern,2,1,2,5,1,3,Seeking guidance on managing project schedules and deadlines.
661502583f3bd7f6793cdf89,6614effdfc13ae3872ab8ae7,kwheadongt@ted.com,software_developper,5,3,1,4,2,2,Concerns about the team's adherence to project timelines.
661502583f3bd7f6793cdf8a,6614effdfc13ae3872ab8ae8,tstolbergfj@gravatar.com,intern,3,1,3,2,1,2,Feeling stressed due to conflicting priorities from different projects.
661502583f3bd7f6793cdf8b,6614effdfc13ae3872ab8ae9,tdelhay4n@shareasale.com,consultant,3,4,2,3,5,4,Concerns about the project's communication and collaboration practices.
661502583f3bd7f6793cdf8c,6614effdfc13ae3872ab8aea,rcracker3n@t-online.de,software_developper,3,4,2,2,3,4,Need guidance on conflict resolution strategies.
661502583f3bd7f6793cdf8d,6614effdfc13ae3872ab8aeb,sstainfieldr1@studiopress.com,consultant,4,4,1,4,3,1,Feeling stressed due to lack of work-life balance.
661502583f3bd7f6793cdf8e,6614effdfc13ae3872ab8aec,dbrandhamr9@newsvine.com,software_developper,3,2,2,3,3,4,Need support in managing project communications and stakeholder expectations.
661502583f3bd7f6793cdf8f,6614effdfc13ae3872ab8aed,pclinchj@amazon.co.uk,software_developper,1,1,3,4,5,4,Feeling unsupported in addressing project uncertainties and ambiguities.
661502583f3bd7f6793cdf90,6614effdfc13ae3872ab8aee,msprionghalle3@google.es,software_developper,5,1,2,5,4,2,Concerns about the team's knowledge sharing practices.
661502583f3bd7f6793cdf91,6614effdfc13ae3872ab8aef,pmatyushenko3f@washingtonpost.com,software_developper,1,3,4,4,2,1,Challenges in maintaining focus during meetings.
661502583f3bd7f6793cdf92,6614effdfc13ae3872ab8af0,pickovcq@cisco.com,intern,1,3,1,4,3,2,Feeling stressed due to lack of project clarity and direction.
661502583f3bd7f6793cdf93,6614effdfc13ae3872ab8af1,kmeadowsb@flavors.me,software_developper,5,4,2,1,3,1,Experiencing challenges in managing project timelines and milestones.
661502583f3bd7f6793cdf94,6614effdfc13ae3872ab8af2,pmeffin3s@smh.com.au,consultant,3,1,2,5,4,5,Ideas for improving team collaboration.
661502583f3bd7f6793cdf95,6614effdfc13ae3872ab8af3,ydeknevetiz@china.com.cn,consultant,1,4,1,2,2,3,Experiencing challenges in managing project resources and priorities.
661502583f3bd7f6793cdf96,6614effdfc13ae3872ab8af4,sjaycockhj@ameblo.jp,tribe_master,1,3,1,4,5,5,Seeking advice on managing project expectations and scope.
661502583f3bd7f6793cdf97,6614effdfc13ae3872ab8af5,dpickaverf2@parallels.com,software_developper,1,4,5,5,4,1,Need assistance in improving team communication channels.
661502583f3bd7f6793cdf98,6614effdfc13ae3872ab8af6,sstainfieldr1@studiopress.com,consultant,1,1,1,4,5,2,Feeling disconnected from the team's goals and objectives.
661502583f3bd7f6793cdf99,6614effdfc13ae3872ab8af7,epentony3c@arizona.edu,software_developper,5,3,3,4,4,5,Need more transparency in communication.
661502583f3bd7f6793cdf9a,6614effdfc13ae3872ab8af8,saskellit@scribd.com,software_developper,3,2,1,2,3,1,Struggling with maintaining project momentum during resource constraints.
661502583f3bd7f6793cdf9b,6614effdfc13ae3872ab8af9,rmariyushkin71@altervista.org,software_developper,1,2,3,4,2,4,Struggling with unclear project objectives.
661502583f3bd7f6793cdf9c,6614effdfc13ae3872ab8afa,spfeufferad@twitpic.com,software_developper,4,5,1,5,5,2,Seeking guidance on managing team dynamics effectively.
661502583f3bd7f6793cdf9d,6614effdfc13ae3872ab8afb,tsavidge45@house.gov,software_developper,4,5,1,1,5,3,Seeking advice on managing project expectations and scope.
661502583f3bd7f6793cdf9e,6614effdfc13ae3872ab8afc,bpudney13@webmd.com,software_developper,3,1,3,3,5,3,Feeling undervalued due to lack of recognition.
661502583f3bd7f6793cdf9f,6614effdfc13ae3872ab8afd,smuxworthy93@mashable.com,software_developper,4,4,1,5,2,4,Feeling overwhelmed by the project's workload and demands.
661502583f3bd7f6793cdfa0,6614effdfc13ae3872ab8afe,csextieao@zdnet.com,software_developper,2,4,2,3,2,2,Experiencing challenges in managing project resources and allocations.
661502583f3bd7f6793cdfa1,6614effdfc13ae3872ab8aff,fbrettoner9d@google.co.uk,consultant,4,5,3,2,4,1,Need clarification on the project requirements.
661502583f3bd7f6793cdfa2,6614effdfc13ae3872ab8b00,adesportejf@cisco.com,consultant,1,2,3,5,2,4,Concerns about the team's alignment with project objectives.
661502583f3bd7f6793cdfa3,6614effdfc13ae3872ab8b01,etraytel0@msu.edu,intern,3,2,2,3,5,3,Concerns about the team's alignment with project goals.
661502583f3bd7f6793cdfa4,6614effdfc13ae3872ab8b02,ameritc4@engadget.com,software_developper,4,3,2,2,3,3,Experiencing difficulties in managing project budgets.
661502583f3bd7f6793cdfa5,6614effdfc13ae3872ab8b03,ydunleybi@blinklist.com,intern,1,3,5,3,1,2,Ideas for boosting team morale.
661502583f3bd7f6793cdfa6,6614effdfc13ae3872ab8b04,skennedyju@state.tx.us,software_developper,3,1,3,3,3,5,Seeking advice on improving team collaboration in virtual environments.
661502583f3bd7f6793cdfa7,6614effdfc13ae3872ab8b05,lderr5s@sohu.com,software_developper,2,4,5,2,5,1,Facing challenges in adapting to organizational changes.
661502583f3bd7f6793cdfa8,6614effdfc13ae3872ab8b06,mfiermand@wordpress.com,consultant,5,1,2,4,5,4,Concerns about the project's impact on team members' workload and well-being.
661502583f3bd7f6793cdfa9,6614effdfc13ae3872ab8b07,clazonbyg@theguardian.com,software_developper,2,1,4,2,1,4,Need assistance in managing project expectations and deliverables.
661502583f3bd7f6793cdfaa,6614effdfc13ae3872ab8b08,taimerk8@wikispaces.com,software_developper,3,5,2,2,3,3,Need assistance in improving team communication channels.
