_id,id,UID,email,PID,activity,comments,start_period,end_period,mon,tue,wed,thur,fri,sat,sun,visible,flag
6613cd40c84216ece76b487a,660fd8bbfc13ae37b1ab8e55,726985432,kgentle0@nydailynews.com,17,client_project,Task complexity causing delays,2024-01-28,2024-02-04,1,5,1,8,1,4,6,True,False
6613cd40c84216ece76b487b,660fd8bbfc13ae37b1ab8e56,813970143,ldiantonio1@oaic.gov.au,38,client_project,Need additional training on certain tools,2024-03-20,2024-03-27,6,7,3,8,3,7,8,False,False
6613cd40c84216ece76b487c,660fd8bbfc13ae37b1ab8e57,149083236,btwitty2@cdc.gov,60,client_project,Experiencing creative block,2024-04-10,2024-04-17,5,6,8,2,1,1,4,True,True
6613cd40c84216ece76b487d,660fd8bbfc13ae37b1ab8e58,673802576,cluppitt3@constantcontact.com,42,client_project,Task complexity causing delays,2023-02-16,2023-02-23,5,7,3,5,8,5,7,True,True
6613cd40c84216ece76b487e,660fd8bbfc13ae37b1ab8e59,120505642,hemtage4@domainmarket.com,95,client_project,Need additional training on certain tools,2024-03-04,2024-03-11,8,8,7,7,1,4,7,False,True
6613cd40c84216ece76b487f,660fd8bbfc13ae37b1ab8e5a,582837170,jallberry5@posterous.com,33,bau,Need better communication from project stakeholders,2023-03-21,2023-03-28,7,7,1,6,1,8,4,False,True
6613cd40c84216ece76b4880,660fd8bbfc13ae37b1ab8e5b,274581959,relvins6@yellowbook.com,48,sales_activity,Facing challenges due to changing requirements,2023-04-16,2023-04-23,1,3,5,2,1,8,7,False,True
6613cd40c84216ece76b4881,660fd8bbfc13ae37b1ab8e5c,354767416,mchattington7@phoca.cz,10,sales_activity,Not feeling good about the progress,2023-08-11,2023-08-18,2,5,1,6,6,7,4,True,True
6613cd40c84216ece76b4882,660fd8bbfc13ae37b1ab8e5d,427914690,yhaggis8@unicef.org,92,client_project,Need to improve time estimation skills,2024-03-26,2024-04-02,4,5,6,4,8,3,3,False,True
6613cd40c84216ece76b4883,660fd8bbfc13ae37b1ab8e5e,399117307,stheriot9@cbslocal.com,60,bau,Task requirements aligned with user needs,2023-05-29,2023-06-05,5,6,4,1,5,4,6,True,False
